ID;Titulo_PT;Vida_Util;Custo;Impacto_Diario;Resistencia;Temp_Max;Fonte;Titulo_EN;Nome_Imagem;Descricao_PT;Descricao_EN
37;Componentes Piezoelétricos;75;15;85;40;300;Cartas;Piezoelectric Components;activity;Convertem estresse mecânico em energia elétrica e vice-versa. Vitais para sensores, atuadores, relógios de quartzo e aparelhos de ultrassom médico.;Convert mechanical stress into electrical energy and vice versa. Vital for sensors, actuators, quartz watches, and medical ultrasound devices.
38;Substrato de Circuitos Eletrônicos;90;20;90;60;1200;Cartas;Electronic Circuit Substrates;circuit-board;Fornecem suporte mecânico e excelente isolamento elétrico enquanto dissipam o calor em eletrônicos de alta potência e sistemas de LED.;Provide mechanical support and excellent electrical insulation while dissipating heat in high-power electronics and LED systems.
39;Louças de Porcelana;50;10;95;35;1300;Cartas;Porcelain Tableware;utensils;Cerâmica clássica e não porosa usada para aparelhos de jantar. Oferece uma superfície lisa, higiene e apelo estético atemporal para o uso diário.;Classic, non-porous ceramic used for dinnerware. Offers a smooth surface, hygiene, and timeless aesthetic appeal for daily use.
40;Revestimentos Cerâmicos;85;15;90;70;800;Cartas;Ceramic Tiles;layout-grid;Materiais duráveis e resistentes à água usados para cobrir pisos e paredes. Proporcionam facilidade de limpeza, durabilidade e beleza aos ambientes.;Durable and water-resistant materials used for covering floors and walls. They provide ease of cleaning, durability, and beauty to environments.
41;Cerâmica Artística;60;25;40;20;1000;Cartas;Artistic Ceramics;palette;Criada para expressão estética e preservação cultural. Demonstra a beleza, a história e a versatilidade da argila moldada e queimada ao longo dos séculos.;Crafted for aesthetic expression and cultural preservation. It showcases the beauty, history, and versatility of shaped and fired clay over the centuries.
42;Ferramentas de Usinagem;40;35;60;85;1200;Cartas;Ceramic Cutting Tools;scissors;Usadas na usinagem de alta velocidade de metais duros. Mantêm seu fio de corte em altas temperaturas onde as ferramentas de aço falhariam.;Used in high-speed machining of hard metals. They retain their cutting edge at high temperatures where steel tools would fail.
43;Anéis de Trefilação;50;40;50;90;1000;Cartas;Wire Drawing Dies;cable;Insertos de cerâmica ultradura usados para puxar e afinar fios metálicos. Oferecem excepcional resistência ao desgaste e acabamento superficial liso.;Ultra-hard ceramic inserts used to draw and thin metal wires. They offer exceptional wear resistance and a smooth surface finish.
44;Guias de Fio;70;5;60;80;1000;Cartas;Thread Guides;spool;Guiam fios em alta velocidade em máquinas têxteis e industriais. Sua superfície dura e lisa evita o desgaste do equipamento e o rompimento do fio.;Guide high-speed threads in textile and industrial machines. Their hard, smooth surface prevents equipment wear and thread breakage.
45;Facas Cerâmicas;50;12;45;40;1000;Cartas;Ceramic Knives;utensils-crossed;Facas de cozinha feitas de zircônia. Permanecem afiadas por muito mais tempo que as de aço e não reagem com alimentos ácidos, embora sejam quebradiças.;Kitchen knives made of zirconia. They stay sharp much longer than steel ones and do not react with acidic foods, although they are brittle.
46;Implantes Ósseos;85;80;95;70;1000;Cartas;Bone Implants;bone;Utilizam hidroxiapatite para imitar o osso natural. Promovem a regeneração celular e a integração óssea, sendo fundamentais em cirurgias ortopédicas.;They use hydroxyapatite to mimic natural bone. They promote cellular regeneration and bone integration, being fundamental in orthopedic surgeries.
47;Células a Combustível de Óxido Sólido;60;85;80;50;1000;Cartas;Solid Oxide Fuel Cells;fuel;Geram eletricidade de forma altamente eficiente a partir da oxidação de combustíveis. Os seus eletrólitos cerâmicos operam a altas temperaturas.;They generate electricity highly efficiently from the oxidation of fuels. Their ceramic electrolytes operate at high temperatures.
48;Supercondutores Cerâmicos;50;95;90;30;800;Cartas;Ceramic Superconductors;snowflake;Materiais como o YBCO que conduzem eletricidade com resistência zero a temperaturas criogénicas. Essenciais para comboios maglev e aparelhos de ressonância magnética.;Materials like YBCO that conduct electricity with zero resistance at cryogenic temperatures. Essential for maglev trains and MRI machines.
49;Sensores de Oxigénio;50;30;85;40;900;Cartas;Oxygen Sensors;gauge;Utilizam zircónia para medir os níveis de oxigénio nos gases de escape. Otimizam a eficiência dos motores de combustão e reduzem as emissões nocivas.;They use zirconia to measure oxygen levels in exhaust gases. They optimize combustion engine efficiency and reduce harmful emissions.
50;Válvulas Cardíacas Cerâmicas;95;90;95;80;1500;Cartas;Ceramic Heart Valves;heart-pulse;Feitas de carbono pirolítico ou alumina. Oferecem uma durabilidade extrema e compatibilidade sanguínea, salvando vidas com o mínimo de desgaste.;Made of pyrolytic carbon or alumina. They offer extreme durability and blood compatibility, saving lives with minimal wear.
51;Revestimentos de Barreira Térmica;60;75;85;85;1400;Cartas;Thermal Barrier Coatings;layers-2;Aplicados em pás de turbinas a gás e motores de aviação. Protegem as superligas metálicas do calor extremo, aumentando a eficiência do motor.;Applied to gas turbine blades and aviation engines. They protect metallic superalloys from extreme heat, increasing engine efficiency.
52;Fibras Óticas;80;20;100;45;1200;Cartas;Optical Fibers;waypoints;Fios de vidro de sílica ultra-puro que transmitem dados à velocidade da luz. São a espinha dorsal das telecomunicações e da internet global.;Ultra-pure silica glass threads that transmit data at the speed of light. They are the backbone of telecommunications and the global internet.
53;Lasers de Estado Sólido;60;85;70;50;1900;Cartas;Solid-State Lasers;scan-line;Utilizam meios ativos como as cerâmicas Nd:YAG. Amplamente utilizados em cirurgias médicas, corte de precisão industrial e designações militares.;They use active mediums such as Nd:YAG ceramics. Widely used in medical surgeries, precision industrial cutting, and military designations.
54;Baterias de Estado Sólido;50;70;90;40;800;Cartas;Solid-State Batteries;battery-full;Empregam eletrólitos cerâmicos em vez de líquidos inflamáveis. Prometem revolucionar os veículos elétricos com maior segurança e densidade de energia.;They employ ceramic electrolytes instead of flammable liquids. They promise to revolutionize electric vehicles with greater safety and energy density.
55;Membranas de Filtração de Água;60;40;95;50;600;Cartas;Water Filtration Membranes;droplets;Filtros cerâmicos porosos que removem bactérias e impurezas. Cruciais para o tratamento de águas residuais e para fornecer água potável em áreas remotas.;Porous ceramic filters that remove bacteria and impurities. Crucial for wastewater treatment and providing drinking water in remote areas.
56;Rolamentos de Turbinas Eólicas;85;65;80;90;1000;Cartas;Wind Turbine Bearings;wind;Fabricados em nitreto de silício. Suportam cargas imensas e previnem falhas elétricas, garantindo a produção contínua de energia renovável.;Made of silicon nitride. They withstand immense loads and prevent electrical failures, ensuring continuous renewable energy production.
57;Janelas Transparentes a Infravermelhos;70;70;60;80;2000;Cartas;IR Transparent Windows;scan-eye;Janelas de safira ou espinela utilizadas em sistemas de orientação de mísseis e óticas avançadas. Resistem a riscos e temperaturas extremas.;Sapphire or spinel windows used in missile guidance systems and advanced optics. They resist scratches and extreme temperatures.
58;Cadinhos de Fusão;50;15;40;75;1800;Cartas;Melting Crucibles;flask-conical;Recipientes cerâmicos indispensáveis em laboratórios e indústrias para derreter metais e produtos químicos sem contaminar as amostras.;Ceramic vessels indispensable in laboratories and industries to melt metals and chemicals without contaminating the samples.
59;Próteses Articulares;95;85;95;85;1000;Cartas;Joint Prostheses;person-standing;Substituições de quadril e joelho utilizando cerâmicas avançadas como a zircónia. Proporcionam mobilidade sem dor e desgaste reduzido ao longo das décadas.;Hip and knee replacements using advanced ceramics like zirconia. They provide pain-free mobility and reduced wear over decades.
60;Dissipadores de Calor Cerâmicos;80;40;85;60;1100;Cartas;Ceramic Heat Sinks;thermometer-snowflake;Componentes de nitreto de alumínio que conduzem o calor de forma excelente enquanto isolam a eletricidade. Essenciais em microeletrónica de alta potência.;Aluminum nitride components that conduct heat excellently while insulating electricity. Essential in high-power microelectronics.
61;Memórias Não Voláteis (FRAM);80;10;80;30;500;Cartas;Non-Volatile Memories (FRAM);memory-stick;Utilizam filmes finos ferroelétricos cerâmicos para armazenar dados. Oferecem leituras e gravações extremamente rápidas com baixo consumo de energia.;They use ceramic ferroelectric thin films to store data. They offer extremely fast reads and writes with low power consumption.
62;Bicos de Impressora 3D;75;20;60;85;2000;Cartas;3D Printer Nozzles;printer;Bicos com pontas de rubi ou safira cerâmica. Resistem à forte abrasão de filamentos com fibra de carbono, mantendo a precisão das impressões.;Nozzles with ceramic ruby or sapphire tips. They resist the heavy abrasion of carbon fiber filaments, maintaining print precision.
